Class,Custom-v1 (ResNet50),Torchvision (ResNet50),Improved-v1 (ResNet50+SE),Custom-v2 (ResNet101+V3+),Improved-v2 (ResNet101+CBAM)
Animal,0.0000,0.0000,0.0000,0.0000,0.0000
Archway,0.0002,0.0520,0.0000,0.0019,0.0467
Bicyclist,0.6600,0.7089,0.6908,0.6867,0.7080
Bridge,0.6602,0.6778,0.6373,0.7343,0.7398
Building,0.8425,0.8592,0.8531,0.8665,0.8518
Car,0.7762,0.8094,0.7949,0.7923,0.8194
CartLuggagePram,0.0000,0.0000,0.0000,0.0000,0.0000
Child,0.1650,0.2426,0.1660,0.1711,0.1773
Column_Pole,0.1096,0.2421,0.2727,0.2969,0.3180
Fence,0.5860,0.6332,0.6321,0.6489,0.6479
LaneMkgsDriv,0.2054,0.4232,0.5527,0.5471,0.5653
LaneMkgsNonDriv,0.0000,0.0000,0.0000,0.0000,0.0000
Misc_Text,0.3181,0.3760,0.3847,0.3898,0.4344
MotorcycleScooter,0.0000,0.0000,0.0000,0.0000,0.0000
OtherMoving,0.4498,0.5178,0.5007,0.5158,0.5251
ParkingBlock,0.4424,0.4828,0.4969,0.4768,0.5403
Pedestrian,0.4204,0.5006,0.4747,0.5118,0.5096
Road,0.8989,0.9170,0.9275,0.9313,0.9324
RoadShoulder,0.5293,0.5513,0.6258,0.6164,0.5977
Sidewalk,0.7914,0.8207,0.8306,0.8393,0.8323
SignSymbol,0.2831,0.3743,0.3958,0.4366,0.3911
Sky,0.9040,0.9167,0.9208,0.9223,0.9223
SUVPickupTruck,0.3149,0.3777,0.2791,0.3982,0.2857
TrafficCone,0.0000,0.0000,0.0000,0.0000,0.0000
TrafficLight,0.5433,0.6266,0.6522,0.6751,0.6783
Train,0.0000,0.0000,0.0000,0.0000,0.0000
Tree,0.7625,0.7858,0.7793,0.7836,0.7863
Truck_Bus,0.3131,0.2204,0.1768,0.3063,0.3124
Tunnel,0.0000,0.0000,0.0000,0.0000,0.0000
VegetationMisc,0.5315,0.5628,0.5728,0.5721,0.5998
Void,0.4584,0.4935,0.4820,0.4896,0.4786
Wall,0.5595,0.5964,0.6006,0.6163,0.6122
